status_name,carrier_name,status_type,substatus_type
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'VE ATTEMPTED TO CONTACT THE RECEIVER REGARDING PICKUP ARRANGEMENTS.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE'VE CONTACTED THE SENDER.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE WERE UNABLE TO OBTAIN ADDITIONAL ADDRESS INFORMATION.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. THIS WILL DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THIS INFORMATION. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. YOUR DELIVERY WILL BE RESCHEDULED ONCE THIS ISSUE IS CORRECTED.,UPS,Exception,Incorrect Info
THE COMPANY OR RECEIVER NAME IS INCORRECT. YOUR DELIVERY WILL BE RESCHEDULED ONCE THIS ISSUE IS RESOLVED.,UPS,Exception,Incorrect Info
