status_name,carrier_name,status_type,substatus_type
SERVICES COMPLETED: TURNED OVER TO CLIENT TRUCKER,Expeditors,Transit,Delivered
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. /,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY UNTIL THE NEXT BUSINESS DAY.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Natural Causes
SEVERE WEATHER CONDITIONS HAVE DELAYED DELIVERY. / YOUR SHIPMENT IS SCHEDULED TO ARRIVE TODAY AFTER THE DELIVERY COMMITMENT TIME.,UPS,Exception,Natural Causes
SEVERE WEATHER HAS DELAYED THE PACKAGE. IT WILL BE DELIVERED AS SOON AS CONDITIONS PERMIT.,UPS,Exception,Natural Causes
SHIPMENT ARRIVED AT INCORRECT FACILITY. IT WILL BE SENT TO THE CORRECT DESTINATION FOR DELIVERY,DHL,Exception,Carrier Delays
SHIPMENT AWAITING PHYSICAL RELEASE - CUSTOMS CONTROLLED AREA,TNT,Exception,Customs/Tax Delays
SHIPMENT AWAITING RECEIVER COLLECTION FROM DROP-OFF POINT. WE'VE CONTACTED THE RECEIVER ABOUT THIS.,TNT,Exception,Other Delays
SHIPMENT CANCELLED BY SENDER,FedEx,Exception,Cancelled
SHIPMENT COLLECTED FROM COLLECTION ADDRESS,TNT,Transit,Pick Up Confirmed
SHIPMENT DAMAGED. HELD AWAITING SENDER INSTRUCTIONS,TNT,Exception,Other Delays
SHIPMENT DELAYED,Expeditors,Exception,Carrier Delays
SHIPMENT DELAYED IN TRANSIT RECOVERY ACTIONS UNDERWAY,TNT,Exception,Other Delays
SHIPMENT DELIVERED DAMAGED,TNT,Exception,Carrier Delays
SHIPMENT DELIVERY TO BE RE-SCHEDULED,DHL,Exception,Other Delays
SHIPMENT DELIVERY TO BE RE-SCHEDULED.,DHL,Exception,Other Delays
SHIPMENT EXCEPTION,FedEx,Exception,Carrier Delays
SHIPMENT HAS BEEN DELIVERED TO CONSIGNEE,UPS,Transit,Delivered
SHIPMENT HAS BEEN DELIVERED TO THE CONSIGNEE.,UPS,Transit,Delivered
SHIPMENT HAS BEEN PICKED-UP.,UPS,Transit,Pick Up Confirmed
SHIPMENT HELD AT A TNT LOCATION AT SENDER'S OR RECEIVER'S REQUEST. IT'S CURRENTLY AWAITING COLLECTION.,TNT,Exception,Other Delays
SHIPMENT HELD AVAILABLE UPON RECEIPT OF PAYMENT,DHL,Exception,Customs/Tax Delays
SHIPMENT HELD. DATA MISSING. FOLLOW-UP ACTION UNDERWAY,TNT,Exception,Incorrect Info
SHIPMENT HELD DUE TO MISSING DATA. WE'RE DOING OUR BEST TO RESOLVE THIS AND WILL CONTACT THE SENDER IF NECESSARY.,TNT,Exception,Incorrect Info
SHIPMENT HELD FOR CUSTOMS PAPERWORK DOCUMENTATION QUERY. WE'LL CONTACT THE SENDER.,TNT,Exception,Customs/Tax Delays
SHIPMENT HELD. PAPERWORK ENQUIRY. FOLLOW-UP ACTION UNDERWAY,TNT,Exception,Incorrect Info
SHIPMENT_INSPECTION,DHL,Exception,Customs/Tax Delays
SHIPMENT IS ON HOLD,DHL,Exception,Other Delays
SHIPMENT LOADED,Kuehne & Nagel,Transit,Pick Up Confirmed
SHIPMENT LOADED INTO LINEHAUL,Kuehne & Nagel,Transit,Pick Up Confirmed
SHIPMENT NOT RECEIVED. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Other Delays
SHIPMENT ON-BOARD,Kintetsu,Transit,Onboard at Departure Terminal
SHIPMENT ON HOLD,DHL,Exception,Other Delays
SHIPMENT PARTIALLY DELIVERED. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Carrier Delays
SHIPMENT PARTIALLY RECEIVED. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Carrier Delays
SHIPMENT PICKED UP,Estes Express,Transit,Pick Up Confirmed
SHIPMENT PICKED UP,DHL,Transit,Pick Up Confirmed
SHIPMENT PRESUMED LOST. WE'LL CONTACT THE SENDER.,TNT,Exception,Loss/Returns
SHIPMENT REROUTED. POTENTIAL DELAY. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Carrier Delays
SHIPMENT REROUTED. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Carrier Delays
SHIPMENT RETURNED TO ORIGIN. FOLLOW-UP ACTIONS UNDERWAY,TNT,Exception,Loss/Returns
SHIPMENT TURNED OVER,Expeditors,Transit,Delivered
SIGNATURE OBTAINED,UPS,Transit,Delivered
SIGNED DELIVERY NOTICE.,UPS,Transit,Delivered
SIGNED FOR BY: HUNDRE,Team Air,Transit,Delivered
SIGNED FOR BY: JOHNSON,Team Air,Transit,Delivered
SIGNED FOR BY: MILES,Team Air,Transit,Delivered
SIGNED FOR BY: TRAVIS,Team Air,Transit,Delivered
"SIGNIFICANT WEATHER EVENTS ACROSS THE GLOBE ARE IMPACTING THE UPS NETWORK. ALTHOUGH YOUR LOCATION MAY NOT BE IMPACTED BY ADVERSE WEATHER, THE MOVEMENT OF PACKAGES IN THE NETWORK MAY BE IMPACTED BY WEATHER CONDITIONS IN OTHER AREAS.",UPS,Exception,Natural Causes
STORED IN THE CUSTOMS AREA,DHL,Exception,Customs/Tax Delays
TAKE IN CHARGE,Bollore,Transit,Pick Up Confirmed
TENDER TO AIRLINE,Choice Logistics,Transit,Onboard at Departure Terminal
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS HAS BEEN CORRECTED.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WERE UNABLE TO OBTAIN ADDITIONAL ADDRESS INFORMATION.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE ADDRESS IS INCOMPLETE. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
